Units,Dollars,Comic-book Title,Issue,Price,Publisher,Est. units
535,262,Deadpool Annual,2,$4.99,Marvel,"43,811"
536,769,Ms Marvel,3,$2.99,Marvel,"43,792"
537,481,New Avengers,18,$3.99,Marvel,"43,717"
538,486,Daredevil,2,$3.99,Marvel,"43,626"
539,476,Deadpool,35,$3.99,Marvel,"43,626"
542,482,Original Sin,5.4,$3.99,Marvel,"43,569"
543,487,New Avengers,25,$3.99,Marvel,"43,561"
545,479,Deadpool,38,$3.99,Marvel,"43,433"
546,485,Death of Wolverine Logan Legacy,4,$3.99,Marvel,"43,429"
549,279,Death of Wolverine Life After Logan,1,$4.99,Marvel,"43,367"
550,491,New Avengers,21,$3.99,Marvel,"43,347"
553,490,Original Sin,5.5,$3.99,Marvel,"43,254"
555,516,Thor God of Thunder,19.NOW,$3.99,Marvel,"43,128"
559,500,New Avengers,22,$3.99,Marvel,"42,935"
560,499,Amazing X-Men,7,$3.99,Marvel,"42,923"
563,496,Night of Living Deadpool,2,$3.99,Marvel,"42,728"
566,506,X-Men,13,$3.99,Marvel,"42,575"
572,558,Original Sin,3.2,$3.99,Marvel,"42,327"
573,510,Moon Knight,4,$3.99,Marvel,"42,230"
574,505,Deadpool,39,$3.99,Marvel,"42,198"
575,797,Deadpool,24,$2.99,Marvel,"42,167"
576,513,New Avengers,20,$3.99,Marvel,"42,134"
578,520,New Avengers,19,$3.99,Marvel,"41,986"
581,522,Silver Surfer,2,$3.99,Marvel,"41,848"
582,809,Deadpool,22,$2.99,Marvel,"41,726"
583,517,Deadpool Draculas Gauntlet,1,$3.99,Marvel,"41,631"
584,324,Ultimate Spider-Man,200,$4.99,Marvel,"41,625"
585,524,Amazing X-Men,8,$3.99,Marvel,"41,587"
589,526,Original Sins,1,$3.99,Marvel,"41,276"
590,532,Spider-Man 2099,5,$3.99,Marvel,"41,273"
592,498,100th Anniversary Special: Guardians of the Galaxy,1,$3.99,Marvel,"41,203"
593,823,Deadpool,23,$2.99,Marvel,"41,185"
595,533,Wolverine,3,$3.99,Marvel,"41,163"
596,535,Rocket Raccoon,6,$3.99,Marvel,"41,154"
597,534,Wolverine and X-Men,2,$3.99,Marvel,"41,143"
601,540,Miles Morales Ultimate Spider-Man,2,$3.99,Marvel,"40,932"
602,536,Guardians of Galaxy Galaxys Most Wanted,1,$3.99,Marvel,"40,907"
604,597,Original Sin,3.3,$3.99,Marvel,"40,842"
606,542,Spider-Man 2099,4,$3.99,Marvel,"40,735"
607,547,Avengers World,3,$3.99,Marvel,"40,734"
608,543,Amazing X-Men,9,$3.99,Marvel,"40,723"
609,348,Kick-Ass 3,6,$4.99,Marvel,"40,715"
610,548,Legendary Star Lord,2,$3.99,Marvel,"40,691"
611,546,Magneto,2,$3.99,Marvel,"40,664"
612,541,Night of Living Deadpool,3,$3.99,Marvel,"40,547"
614,511,100th Anniversary Special: X-Men,1,$3.99,Marvel,"40,453"
615,856,Hawkeye,15,$2.99,Marvel,"40,425"
619,555,New Avengers,27,$3.99,Marvel,"40,344"
622,564,Daredevil,3,$3.99,Marvel,"39,945"
623,560,X-Men,14,$3.99,Marvel,"39,896"
624,568,New Avengers,23,$3.99,Marvel,"39,890"
625,562,Thanos Vs. Hulk,1,$3.99,Marvel,"39,862"
626,570,New Avengers,28,$3.99,Marvel,"39,855"
