Units,Dollars,Comic-book Title,Issue,Price,On sale,Publisher,Est. units
403,449,X-Force,4,$3.99,12/18/19,Marvel,"44,872"
404,451,Conan The Barbarian,2,$3.99,01/16/19,Marvel,"44,801"
405,450,Guardians of the Galaxy,8,$3.99,08/21/19,Marvel,"44,768"
405,421,Absolute Carnage Vs. Deadpool,3,$3.99,10/16/19,Marvel,"44,723"
407,283,Venom Annual,1,$4.99,07/31/19,Marvel,"44,461"
410,526,History of Marvel Universe,2,$4.99,08/21/19,Marvel,"44,345"
414,467,Captain America,7,$3.99,01/30/19,Marvel,"44,189"
415,459,Star Wars Age of Rebellion Boba Fett,1,$3.99,05/08/19,Marvel,"44,161"
417,468,Fallen Angels,2,$3.99,11/27/19,Marvel,"43,929"
418,464,Uncanny X-Men,17,$3.99,05/01/19,Marvel,"43,832"
419,466,Guardians of the Galaxy,4,$3.99,04/17/19,Marvel,"43,792"
423,349,Marvels Epilogue,1,$4.99,07/24/19,Marvel,"43,665"
424,448,Symbiote Spider-Man,4,$3.99,07/10/19,Marvel,"43,643"
426,866,Spider-Man City At War,2,$3.99,04/17/19,Marvel,"43,534"
427,694,Black Cat,5,$3.99,10/02/19,Marvel,"43,246"
428,304,Age of X-Man Alpha,1,$4.99,01/30/19,Marvel,"43,243"
429,474,Symbiote Spider-Man,3,$3.99,06/12/19,Marvel,"43,211"
430,277,Star Wars,75,$4.99,11/20/19,Marvel,"43,157"
431,477,Star Wars,67,$3.99,06/19/19,Marvel,"43,149"
432,458,Star Wars,68,$3.99,07/10/19,Marvel,"43,134"
433,1111,Sword Master,1,$3.99,07/24/19,Marvel,"43,106"
434,456,Star Wars,64,$3.99,04/03/19,Marvel,"43,063"
438,481,Uncanny X-Men,18,$3.99,05/15/19,Marvel,"42,952"
439,480,Thor,14,$3.99,06/26/19,Marvel,"42,925"
440,446,Absolute Carnage Miles Morales,2,$3.99,09/25/19,Marvel,"42,885"
441,484,Thor,15,$3.99,07/10/19,Marvel,"42,822"
443,485,Guardians of the Galaxy,6,$3.99,06/19/19,Marvel,"42,717"
444,434,Marvel Comics Presents,1,$4.99,01/16/19,Marvel,"42,591"
445,486,Star Wars Age of Republic Jango Fett,1,$3.99,01/09/19,Marvel,"42,589"
447,287,Absolute Carnage Symbiote of Vengeance,1,$4.99,09/11/19,Marvel,"42,574"
448,2220,True Believers Amazing Spider-Man,1,$1.00,06/05/19,Marvel,"42,443"
451,496,Conan The Barbarian,4,$3.99,03/06/19,Marvel,"42,420"
457,491,Avengers,26,$3.99,11/20/19,Marvel,"42,239"
458,492,Thor,16,$3.99,08/28/19,Marvel,"42,127"
459,313,2099 Alpha,1,$4.99,11/20/19,Marvel,"42,117"
460,463,Star Wars,66,$3.99,05/15/19,Marvel,"42,084"
461,521,Age of X-Man Marvelous X-Men,1,$3.99,02/06/19,Marvel,"42,051"
462,311,Absolute Carnage Separation Anxiety,1,$4.99,08/14/19,Marvel,"42,016"
463,504,Thor,12,$3.99,04/17/19,Marvel,"41,929"
464,497,Star Wars,59,$3.99,01/09/19,Marvel,"41,847"
465,1234,Future Foundation,1,$3.99,08/07/19,Marvel,"41,738"
466,506,Conan The Barbarian,3,$3.99,03/13/19,Marvel,"41,696"
467,318,Venom 2099,1,$4.99,12/04/19,Marvel,"41,503"
468,507,Uncanny X-Men,20,$3.99,06/19/19,Marvel,"41,479"
469,227,Star Wars Orig Marvel Yrs,108,$5.99,05/29/19,Marvel,"41,458"
471,211,Wolverine Vs. Blade Special,1,$5.99,07/10/19,Marvel,"41,452"
474,932,Valkyrie Jane Foster,2,$3.99,08/21/19,Marvel,"41,356"
475,839,Spider-Ham,1,$3.99,12/25/19,Marvel,"41,342"
477,338,Avengers No Road Home,6,$4.99,03/20/19,Marvel,"41,235"
479,513,Thor,11,$3.99,03/20/19,Marvel,"41,147"
480,524,Captain Marvel,2,$3.99,02/13/19,Marvel,"41,105"
482,493,Captain Marvel,9,$3.99,08/14/19,Marvel,"41,030"
484,336,Spider-Man Life Story,4,$4.99,06/12/19,Marvel,"40,784"
485,951,Marvel Team-Up,1,$3.99,04/03/19,Marvel,"40,770"
486,518,Star Wars,61,$3.99,02/06/19,Marvel,"40,733"
487,337,Spider-Man Life Story,3,$4.99,05/15/19,Marvel,"40,732"
489,519,Star Wars,62,$3.99,03/06/19,Marvel,"40,609"
491,525,Thanos,2,$3.99,05/29/19,Marvel,"40,323"
492,342,Wolverine Exit Wounds,1,$4.99,06/26/19,Marvel,"40,279"
495,353,Annihilation Scourge Alpha,1,$4.99,11/20/19,Marvel,"40,163"
496,536,King Thor,2,$3.99,10/23/19,Marvel,"40,149"
497,357,Guardians of the Galaxy Annual,1,$4.99,06/05/19,Marvel,"39,892"
498,1135,Black Panther and Agents of Wakanda,1,$3.99,09/18/19,Marvel,"39,866"
499,542,Thor,10,$3.99,02/13/19,Marvel,"39,798"
501,903,Valkyrie Jane Foster,3,$3.99,09/18/19,Marvel,"39,742"
502,1241,Age of Conan Valeria,1,$3.99,08/14/19,Marvel,"39,723"
503,515,Deadpool,13,$3.99,06/05/19,Marvel,"39,701"
504,546,Captain America,8,$3.99,02/27/19,Marvel,"39,693"
505,544,Star Wars,60,$3.99,01/23/19,Marvel,"39,680"
510,245,King Thor,4,$5.99,12/18/19,Marvel,"39,566"
513,364,Spider-Man Life Story,5,$4.99,07/17/19,Marvel,"39,480"
515,923,Doctor Doom,2,$3.99,11/06/19,Marvel,"39,411"
